Month,Floyd Mayweather: (Worldwide),Cristiano Ronaldo: (Worldwide),Lionel Messi: (Worldwide),LeBron James: (Worldwide),Roger Federer: (Worldwide)
2010-01,2,10,3,3,5
2010-02,1,10,3,3,3
2010-03,1,10,6,3,2
2010-04,3,13,12,3,2
2010-05,7,14,7,7,3
2010-06,1,25,14,4,4
2010-07,1,21,10,18,2
2010-08,1,11,5,3,4
2010-09,1,10,7,2,4
2010-10,1,11,5,3,2
2010-11,2,13,7,3,4
2010-12,1,11,7,4,2
2011-01,1,11,7,3,4
2011-02,1,14,7,3,2
2011-03,1,10,8,2,2
2011-04,1,13,12,3,2
2011-05,1,14,11,4,3
2011-06,1,11,9,8,8
2011-07,1,10,9,2,2
2011-08,1,10,9,2,2
2011-09,15,10,8,1,4
2011-10,1,10,8,2,1
2011-11,3,12,9,2,4
2011-12,2,12,10,2,2
2012-01,2,12,10,3,5
2012-02,2,12,9,3,2
2012-03,1,12,14,3,3
2012-04,2,16,14,3,2
2012-05,11,12,11,4,3
2012-06,2,21,12,10,5
2012-07,1,12,8,4,10
2012-08,1,11,9,4,7
2012-09,2,15,9,2,3
2012-10,1,13,11,2,2
2012-11,1,13,12,3,3
2012-12,2,13,15,3,2
2013-01,1,13,13,3,5
2013-02,1,14,11,5,2
2013-03,1,15,12,5,2
2013-04,2,15,13,4,1
2013-05,9,14,10,5,3
2013-06,3,15,11,10,5
2013-07,2,13,10,4,3
2013-08,2,14,9,3,3
2013-09,22,13,9,3,2
2013-10,2,13,9,3,2
2013-11,2,17,10,4,3
2013-12,2,15,10,4,1
2014-01,2,19,11,4,6
2014-02,3,14,8,5,2
2014-03,2,15,11,5,3
2014-04,3,18,10,4,2
2014-05,14,22,10,5,3
2014-06,2,34,24,11,4
2014-07,3,21,34,16,6
2014-08,4,17,11,4,4
2014-09,11,15,10,3,4
2014-10,2,17,11,4,3
2014-11,3,17,12,4,5
2014-12,4,18,12,4,2
2015-01,4,24,14,4,3
2015-02,7,16,11,4,2
2015-03,7,16,12,4,3
2015-04,20,17,12,4,2
2015-05,67,20,21,6,4
2015-06,3,18,19,15,4
2015-07,4,16,14,4,8
2015-08,3,16,12,3,3
2015-09,9,15,13,2,7
2015-10,2,15,12,3,2
2015-11,2,17,13,3,4
2015-12,2,16,12,5,1
2016-01,2,15,15,4,5
2016-02,1,15,15,3,1
2016-03,2,14,12,3,1
2016-04,2,19,12,4,2
2016-05,2,16,11,5,2
2016-06,1,25,26,16,3
2016-07,1,33,20,5,5
2016-08,1,15,11,3,1
2016-09,1,13,11,2,1
2016-10,1,13,11,3,1
2016-11,2,15,12,4,1
2016-12,2,17,12,4,1
2017-01,2,13,10,4,13
2017-02,2,10,9,4,2
2017-03,3,12,10,4,5
2017-04,2,16,14,4,4
2017-05,2,16,12,6,2
2017-06,7,26,12,10,4
2017-07,18,14,11,4,12
2017-08,100,15,11,3,5
2017-09,4,12,10,3,6
2017-10,1,12,11,3,4
2017-11,1,12,9,4,3
2017-12,1,14,10,5,1
2018-01,1,12,9,4,10
2018-02,2,11,9,6,5
2018-03,2,13,12,4,5
2018-04,1,20,11,6,2
2018-05,1,16,10,10,2
2018-06,1,36,28,17,5
2018-07,2,51,14,14,7
2018-08,1,16,8,5,4
2018-09,2,17,8,4,4
2018-10,3,17,9,5,3
2018-11,2,12,7,5,4
2018-12,3,12,8,6,1
2019-01,3,11,7,5,5
2019-02,2,12,8,5,2
2019-03,1,15,10,5,7
2019-04,1,12,10,3,2
2019-05,1,11,12,3,5
2019-06,1,11,10,4,9
2019-07,1,9,10,3,19
2019-08,1,9,8,2,4
2019-09,1,10,9,2,5
2019-10,1,9,8,4,4
2019-11,1,10,8,4,4
2019-12,1,12,10,5,1
